2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-57.688,1385,31849,-18.65434,20.87189,-7.54706,72.49593,7.82621,5.68029
2021-10-10_15-16-57.696,1393,31850,-18.64771,20.89636,-7.63784,72.49052,7.81595,5.69626
2021-10-10_15-16-57.704,1401,31851,-18.63972,20.91048,-7.74120,72.48199,7.80844,5.70494
2021-10-10_15-16-57.716,1413,31852,-18.63109,20.92221,-7.87106,72.46973,7.80423,5.70639
2021-10-10_15-16-57.724,1421,31853,-18.62251,20.93894,-8.00766,72.45886,7.79938,5.70931
2021-10-10_15-16-57.732,1429,31854,-18.61358,20.95387,-8.12883,72.44781,7.79411,5.71202
2021-10-10_15-16-57.740,1437,31855,-18.60549,20.96958,-8.26263,72.43443,7.78973,5.71428
2021-10-10_15-16-57.748,1445,31856,-18.59636,20.97910,-8.39444,72.42194,7.78498,5.71875
2021-10-10_15-16-57.756,1453,31857,-18.58693,20.98842,-8.51226,72.40861,7.78107,5.71980
2021-10-10_15-16-57.764,1461,31858,-18.57948,21.00722,-8.59450,72.39335,7.77843,5.71080
2021-10-10_15-16-57.772,1469,31859,-18.57171,21.02580,-8.66004,72.38014,7.77339,5.70662
2021-10-10_15-16-57.780,1477,31860,-18.56286,21.03011,-8.74575,72.36771,7.76677,5.71009
2021-10-10_15-16-57.788,1485,31861,-18.55540,21.02813,-8.79825,72.35335,7.75905,5.71207
2021-10-10_15-16-57.796,1493,31862,-18.54687,21.02199,-8.86328,72.33671,7.75422,5.70575
2021-10-10_15-16-57.804,1501,31863,-18.53957,21.01233,-8.93612,72.31567,7.75146,5.69277
2021-10-10_15-16-57.816,1513,31864,-18.53173,20.99339,-9.00237,72.29556,7.74572,5.68619
2021-10-10_15-16-57.824,1521,31865,-18.52363,20.96696,-9.07410,72.27319,7.74027,5.67565
2021-10-10_15-16-57.832,1529,31866,-18.51756,20.93302,-9.14234,72.24699,7.73433,5.66377
2021-10-10_15-16-57.840,1537,31867,-18.51263,20.89174,-9.20868,72.21584,7.73081,5.64023
2021-10-10_15-16-57.848,1545,31868,-18.50868,20.84026,-9.27003,72.18201,7.72676,5.61268
2021-10-10_15-16-57.856,1553,31869,-18.50557,20.75147,-9.33243,72.14017,7.72300,5.57549
2021-10-10_15-16-57.864,1561,31870,-18.50412,20.57388,-9.38512,72.08826,7.72037,5.52302
2021-10-10_15-16-57.872,1569,31871,-18.50457,20.24437,-9.40520,72.03093,7.71139,5.46904
2021-10-10_15-16-57.880,1577,31872,-18.50503,19.79899,-9.43026,71.95205,7.70892,5.36946
2021-10-10_15-16-57.888,1585,31873,-18.50799,19.22983,-9.46205,71.83472,7.71681,5.18955
2021-10-10_15-16-57.896,1593,31874,-18.51187,18.56828,-9.50015,71.67122,7.73256,4.91317
2021-10-10_15-16-57.904,1601,31875,-18.51834,17.96877,-9.52255,71.44801,7.75906,4.49770
2021-10-10_15-16-57.916,1613,31876,-18.52716,17.38915,-9.52647,71.14990,7.79474,3.90557
2021-10-10_15-16-57.924,1621,31877,-18.54020,16.74956,-9.54236,70.75540,7.84383,3.09020
2021-10-10_15-16-57.932,1629,31878,-18.55660,16.06687,-9.55155,70.27711,7.89382,2.07075
2021-10-10_15-16-57.940,1637,31879,-18.58013,15.32616,-9.54527,69.75243,7.91583,0.99541
2021-10-10_15-16-57.948,1645,31880,-18.61850,14.60142,-9.52787,69.20744,7.89267,-0.03403
2021-10-10_15-16-57.956,1653,31881,-18.68546,13.96347,-9.49188,68.68659,7.80991,-0.88880
2021-10-10_15-16-57.964,1661,31882,-18.81116,13.26168,-9.45054,68.11832,7.69032,-1.76394
2021-10-10_15-16-57.972,1669,31883,-18.99347,12.57528,-9.38696,67.55240,7.52232,-2.55926
2021-10-10_15-16-57.980,1677,31884,-19.21993,11.81905,-9.30396,66.96461,7.32850,-3.37673
2021-10-10_15-16-57.988,1685,31885,-19.44891,11.07673,-9.17397,66.39728,7.10688,-4.13190
2021-10-10_15-16-57.996,1693,31886,-19.67463,10.25665,-8.96340,65.79171,6.89768,-5.15491
2021-10-10_15-16-58.004,1701,31887,-19.89190,9.48863,-8.64538,65.18800,6.68280,-6.30482
